Lista depurada,,,,,,,,,,,,,,,
Company Name,Brand,Website,CIF (Fiscal Number in Spain),Phone number,Company email,Industry,Contacts,Contact's Title,Linkedin,Facebook,Twitter,Instagram,City,Facturacion,Empleados
DELFIN ULTRACONGELADOS SA,,,,,,,,,,,,,,,
DIEGO LOPEZ LOPEZ SL,,,,,,,,,,,,,,,
NUTRITION & SANTE IBERIA SL,,,,,,,,,,,,,,,
EUROCASTELL CAÑA SL,,,,,,,,,,,,,,,
POSTRES Y DULCES REINA SL,,,,,,,,,,,,,,,
EMBUTIDOS CASEROS COLLELL SL,,,,,,,,,,,,,,,
AGROPONIENTE SA,,,,,,,,,,,,,,,
GALLETAS ARTIACH SA,,,,,,,,,,,,,,,
NOVAFRIGSA SA,,,,,,,,,,,,,,,
JOHNSON & JOHNSON SA,,,,,,,,,,,,,,,
PROCTER & GAMBLE ESPAÑA SA,,,,,,,,,,,,,,,
COTY SPAIN,,,,,,,,,,,,,,,
HENKEL IBERICA SA,,,,,,,,,,,,,,,
LOREAL ESPAÑA SA,,,,,,,,,,,,,,,
ANTONIO PUIG SA,,,,,,,,,,,,,,,
COTY SPAIN,,,,,,,,,,,,,,,
PERSAN SA,,,,,,,,,,,,,,,
KAO CORPORATION SA,,,,,,,,,,,,,,,
INDUSTRIAS QUIMICAS DE BADAJOZ SA,,,,,,,,,,,,,,,
LABORATORIOS MAVERICK SL,,,,,,,,,,,,,,,
